public_id,format,version,created_at,bytes,width,height,secure_url
wstux4tiak8aqyrsx4t0.fig,fig,1698098692,23-10-2023,20615,,,https://res.cloudinary.com/brad-cloudinary/raw/upload/v1698098692/wstux4tiak8aqyrsx4t0.fig
two,jpg,1657897630,15-07-2022,1485433,2592,3456,https://res.cloudinary.com/brad-cloudinary/image/upload/v1657897630/two.jpg
tamara-bellis-JoKS3XweV50-unsplash,jpg,1692721129,22-08-2023,170152,1670,2511,https://res.cloudinary.com/brad-cloudinary/image/upload/v1692721129/tamara-bellis-JoKS3XweV50-unsplash.jpg
stock_stuff.json,json,1656589923,30-06-2022,2446,,,https://res.cloudinary.com/brad-cloudinary/raw/upload/v1656589923/stock_stuff.json
stephanie-liverani-Zz5LQe-VSMY-unsplash,jpg,1692719330,22-08-2023,2447311,3648,5472,https://res.cloudinary.com/brad-cloudinary/image/upload/v1692719330/stephanie-liverani-Zz5LQe-VSMY-unsplash.jpg
samples/cld-sample-video,mp4,1692117959,01-06-2022,35988643,3840,2160,https://res.cloudinary.com/brad-cloudinary/video/upload/v1692117959/samples/cld-sample-video.mp4
sample,jpg,1655761346,11-06-2022,120253,864,576,https://res.cloudinary.com/brad-cloudinary/image/upload/v1655761346/sample.jpg
rzj8zbycckjkrhgouvqj,svg,1655752289,20-06-2022,1395,172,113,https://res.cloudinary.com/brad-cloudinary/image/upload/v1655752289/rzj8zbycckjkrhgouvqj.svg
production_ID_5077814,mp4,1657291950,08-07-2022,14972807,1920,1080,https://res.cloudinary.com/brad-cloudinary/video/upload/v1657291950/production_ID_5077814.mp4
production_ID_4210977,mp4,1657291947,08-07-2022,2546323,1280,720,https://res.cloudinary.com/brad-cloudinary/video/upload/v1657291947/production_ID_4210977.mp4
production_ID_3818213,mp4,1657291955,08-07-2022,37625805,3840,2160,https://res.cloudinary.com/brad-cloudinary/video/upload/v1657291955/production_ID_3818213.mp4
pexels-kampus-production-8731196,mp4,1657291951,08-07-2022,16049162,3840,2160,https://res.cloudinary.com/brad-cloudinary/video/upload/v1657291951/pexels-kampus-production-8731196.mp4
pexels-engin-akyurt-10358140,mp4,1657291961,08-07-2022,69548567,4096,2160,https://res.cloudinary.com/brad-cloudinary/video/upload/v1657291961/pexels-engin-akyurt-10358140.mp4
o2jxhyjzrucnnmnxlc8h,jpg,1657312964,08-07-2022,3175875,4000,6016,https://res.cloudinary.com/brad-cloudinary/image/upload/v1657312964/o2jxhyjzrucnnmnxlc8h.jpg
nj2j1z2jtqsrd2ikb0ke,jpg,1657312964,08-07-2022,278334,5200,3585,https://res.cloudinary.com/brad-cloudinary/image/upload/v1657312964/nj2j1z2jtqsrd2ikb0ke.jpg
nicholas-brownlow-lx_KwA7hlLU-unsplash,jpg,1657897630,15-07-2022,1032817,2312,2890,https://res.cloudinary.com/brad-cloudinary/image/upload/v1657897630/nicholas-brownlow-lx_KwA7hlLU-unsplash.jpg
mi7iipjbuidl5vjqsd6t,jpg,1657312857,08-07-2022,2576306,6385,4256,https://res.cloudinary.com/brad-cloudinary/image/upload/v1657312857/mi7iipjbuidl5vjqsd6t.jpg
marcelo-burlon-county-of-milan-mens-ss23-025,jpg,1690821366,31-07-2023,189791,683,1024,https://res.cloudinary.com/brad-cloudinary/image/upload/v1690821366/marcelo-burlon-county-of-milan-mens-ss23-025.jpg
kitty,psd,1658757109,25-07-2022,9321019,1920,1080,https://res.cloudinary.com/brad-cloudinary/image/upload/v1658757109/kitty.psd
